Year,State,Plant name,Plant-level sector,eGRID subregion name,Plant FIPS state code,Plant FIPS county code,Plant county name,latitude,longitude,Number of units,Number of generators,Primary fuel source,Plant capacity factor,Plant nameplate capacity (MW),Nonbaseload Factor,CHP plant useful thermal output (MMBtu),CHP plant power to heat ratio,CHP plant electric allocation factor,Plant annual heat input from combustion (MMBtu),Plant total annual heat input (MMBtu),Plant annual net generation (MWh),Plant annual CO2 emissions (tons),Plant annual CO2 equivalent emissions (tons),Plant annual CO2 total output emission rate (lb/MWh),Plant annual CO2 equivalent total output emission rate (lb/MWh),Plant annual CO2 input emission rate (lb/MMBtu),Plant annual CO2 equivalent input emission rate (lb/MMBtu),Plant nominal heat rate (Btu/kWh),Plant annual coal net generation (MWh),Plant annual oil net generation (MWh),Plant annual gas net generation (MWh)
2022.0,CA,Adobe San Jose,IPP Non-CHP,WECC California,06,085,Santa Clara,37.330556,-121.893056,2.0,2.0,GAS,0.0,1.2,,,,,,,0.0,,,,,,,,0.0,0.0,0.0
2022.0,CA,Aera San Ardo Cogen Facility,Industrial CHP,WECC California,06,053,Monterey,35.953293,-120.859952,2.0,2.0,GAS,0.41026,6.2,0.649567928511808,352978.4,0.215,0.223159,125368.225,125368.225,22282.0,7327.087,7334.66,657.669,658.348,116.889,117.01,5626.435004,0.0,0.0,22282.0
2022.0,CA,AES Alamitos,IPP Non-CHP,WECC California,06,037,Los Angeles,33.7688,-118.1009,5.0,3.0,GAS,0.06455,1115.0,1.0,,,,32573933.857,32573933.857,630475.0,1935817.492,1936315.461,6140.822,6142.402,118.857,118.887,51665.702616,0.0,0.0,630475.0
2022.0,CA,AES Alamitos Energy Center,IPP Non-CHP,WECC California,06,037,Los Angeles,33.767229,-118.100194,4.0,3.0,GAS,0.58119,678.0,0.364680006106239,,,,23966203.65,23966203.65,3451862.0,1400693.483,1402141.203,811.558,812.397,116.889,117.01,6942.9785,0.0,0.0,3451862.0
2022.0,CA,AES Huntington Beach,IPP Non-CHP,WECC California,06,059,Orange,33.6439,-117.9792,3.0,1.0,GAS,0.05565,218.0,1.0,,,,28481531.934,28481531.934,106269.0,1692618.932,1692693.487,31855.366,31856.769,118.857,118.863,268013.549897,0.0,0.0,106269.0
2022.0,CA,AES Huntington Beach Energy Project,IPP Non-CHP,WECC California,06,059,Orange,33.645618,-117.979372,4.0,3.0,GAS,0.63918,699.2,0.26802690789909,,,,26791158.997,26791158.997,3914996.0,1565796.668,1567415.034,799.897,800.724,116.889,117.01,6843.214909,0.0,0.0,3914996.0
2022.0,CA,AES Redondo Beach,IPP Non-CHP,WECC California,06,037,Los Angeles,33.8504,-118.395,3.0,3.0,GAS,0.03046,821.4,1.0,,,,3665361.5,3665361.5,219171.0,217826.5,218036.063,1987.731,1989.643,118.857,118.971,16723.75223,0.0,0.0,219171.0
2022.0,CA,Agnews Power Plant,IPP Non-CHP,WECC California,06,085,Santa Clara,37.4058,-121.9272,2.0,2.0,GAS,0.0903,32.0,1.0,,,,251619.754,251619.754,25314.0,14705.798,14720.998,1161.871,1163.072,116.889,117.01,9939.944458,0.0,0.0,25314.0
2022.0,CA,AGT000 Stevens Creek Fuel Cell,IPP Non-CHP,WECC California,06,085,Santa Clara,37.32489,-121.99894,2.0,2.0,GAS,0.75425,2.2,0.0762418707624184,,,,,104601.0,14536.0,,,,,,,,0.0,0.0,14536.0
2022.0,CA,Agua Mansa Power,Electric Utility,WECC California,06,071,San Bernardino,34.0414,-117.3603,1.0,1.0,GAS,0.02404,60.5,1.0,,,,144591.45,144591.45,12742.0,8593.45,8594.314,1348.838,1348.974,118.865,118.877,11347.625961,0.0,0.0,12742.0
