,Year,State,Plant name,Plant-level sector,eGRID subregion name,Plant FIPS state code,Plant FIPS county code,Plant county name,latitude,longitude,Number of units,Number of generators,Primary fuel source,Plant capacity factor,Plant nameplate capacity (MW),Nonbaseload Factor,CHP plant useful thermal output (MMBtu),CHP plant power to heat ratio,CHP plant electric allocation factor,Plant annual heat input from combustion (MMBtu),Plant total annual heat input (MMBtu),Plant annual net generation (MWh),Plant annual CO2 emissions (tons),Plant annual CO2 equivalent emissions (tons),Plant annual CO2 total output emission rate (lb/MWh),Plant annual CO2 equivalent total output emission rate (lb/MWh),Plant annual CO2 input emission rate (lb/MMBtu),Plant annual CO2 equivalent input emission rate (lb/MMBtu),Plant nominal heat rate (Btu/kWh),Plant annual coal net generation (MWh),Plant annual oil net generation (MWh),Plant annual gas net generation (MWh),Unused Capacity,Annual Generation Potential (MWh),geometry,index_right,GEOID,GEOIDFQ,NAME,Unnamed: 0,median_income,tot_pop,white_pop,black_african-american,poverty_status,state,county,tract,poc_pop,census_tract,county_name
0,2022.0,CA,Adobe San Jose,IPP Non-CHP,WECC California,6,85,Santa Clara,37.330556,-121.893056,2.0,2.0,GAS,0.0,1.2,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,1.0,10512.0,POINT (-121.893056 37.330556),1997,06085500800,1400000US06085500800,5008,2808,70216.0,4176.0,2511.0,146.0,4131.0,6,85,500800,1665.0,Census Tract 5008,Santa Clara County
1,2022.0,CA,CoreSite Real Estate 55 S. Market Street,Commercial Non-CHP,WECC California,6,85,Santa Clara,37.334151,-121.891622,4.0,4.0,OIL,0.0,8.0,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,1.0,70080.0,POINT (-121.891622 37.334151),1997,06085500800,1400000US06085500800,5008,2808,70216.0,4176.0,2511.0,146.0,4131.0,6,85,500800,1665.0,Census Tract 5008,Santa Clara County
2,2022.0,CA,Aera San Ardo Cogen Facility,Industrial CHP,WECC California,6,53,Monterey,35.953293,-120.859952,2.0,2.0,GAS,0.41026,6.2,0.649567928511808,352978.4,0.215,0.223159,125368.225,125368.225,22282.0,7327.087,7334.66,657.669,658.348,116.889,117.01,5626.435004,0.0,0.0,22282.0,0.5897399999999999,54312.0,POINT (-120.859952 35.953293),3661,06053011400,1400000US06053011400,114,339,26462.0,4589.0,3626.0,191.0,3438.0,6,53,11400,963.0,Census Tract 114,Monterey County
3,2022.0,CA,Salinas River Cogeneration Facility,IPP CHP,WECC California,6,53,Monterey,35.9515,-120.8679,1.0,1.0,GAS,0.78573,38.9,0.0237857676671633,1374404.8,0.665,0.469922,1770086.763,1770086.763,267748.0,105191.632,105294.363,785.751,786.518,118.855,118.971,6611.017683,0.0,0.0,267748.0,0.21426999999999996,340764.0,POINT (-120.8679 35.9515),3661,06053011400,1400000US06053011400,114,339,26462.0,4589.0,3626.0,191.0,3438.0,6,53,11400,963.0,Census Tract 114,Monterey County
4,2022.0,CA,Sargent Canyon Cogeneration,IPP CHP,WECC California,6,53,Monterey,35.9359,-120.8408,1.0,1.0,GAS,,38.2,,,,,,,,,,,,,,,,,,,334632.0,POINT (-120.8408 35.9359),3661,06053011400,1400000US06053011400,114,339,26462.0,4589.0,3626.0,191.0,3438.0,6,53,11400,963.0,Census Tract 114,Monterey County
5,2022.0,CA,AES Alamitos,IPP Non-CHP,WECC California,6,37,Los Angeles,33.7688,-118.1009,5.0,3.0,GAS,0.06455,1115.0,1.0,,,,32573933.857,32573933.857,630475.0,1935817.492,1936315.461,6140.822,6142.402,118.857,118.887,51665.702616,0.0,0.0,630475.0,0.93545,9767400.0,POINT (-118.1009 33.7688),4134,06037980007,1400000US06037980007,9800.07,7277,-666666666.0,0.0,0.0,0.0,0.0,6,37,980007,0.0,Census Tract 9800.07,Los Angeles County
6,2022.0,CA,AES Alamitos Energy Center,IPP Non-CHP,WECC California,6,37,Los Angeles,33.767229,-118.100194,4.0,3.0,GAS,0.58119,678.0,0.364680006106239,,,,23966203.65,23966203.65,3451862.0,1400693.483,1402141.203,811.558,812.397,116.889,117.01,6942.9785,0.0,0.0,3451862.0,0.41881,5939280.0,POINT (-118.100194 33.767229),4134,06037980007,1400000US06037980007,9800.07,7277,-666666666.0,0.0,0.0,0.0,0.0,6,37,980007,0.0,Census Tract 9800.07,Los Angeles County
7,2022.0,CA,Haynes Generating Station,Electric Utility,WECC California,6,37,Los Angeles,33.764741,-118.09913,10.0,11.0,GAS,0.16821,1739.1,1.0,,,,20130552.562,20130552.562,2562640.998,1174477.136,1175696.555,916.615,917.566,116.686,116.807,7855.393152,0.0,0.0,2562641.0,0.83179,15234516.0,POINT (-118.09913 33.764741),4134,06037980007,1400000US06037980007,9800.07,7277,-666666666.0,0.0,0.0,0.0,0.0,6,37,980007,0.0,Census Tract 9800.07,Los Angeles County
8,2022.0,CA,AES Huntington Beach,IPP Non-CHP,WECC California,6,59,Orange,33.6439,-117.9792,3.0,1.0,GAS,0.05565,218.0,1.0,,,,28481531.934,28481531.934,106269.0,1692618.932,1692693.487,31855.366,31856.769,118.857,118.863,268013.549897,0.0,0.0,106269.0,0.94435,1909680.0,POINT (-117.9792 33.6439),4680,06059099220,1400000US06059099220,992.20,5757,59320.0,5603.0,4446.0,143.0,5561.0,6,59,99220,1157.0,Census Tract 992.20,Orange County
9,2022.0,CA,AES Huntington Beach Energy Project,IPP Non-CHP,WECC California,6,59,Orange,33.645618,-117.979372,4.0,3.0,GAS,0.63918,699.2,0.26802690789909,,,,26791158.997,26791158.997,3914996.0,1565796.668,1567415.034,799.897,800.724,116.889,117.01,6843.214909,0.0,0.0,3914996.0,0.36082000000000003,6124992.0,POINT (-117.979372 33.645618),4680,06059099220,1400000US06059099220,992.20,5757,59320.0,5603.0,4446.0,143.0,5561.0,6,59,99220,1157.0,Census Tract 992.20,Orange County
