,median_income,tot_pop,white_pop,black_african-american,poverty_status,state,county,tract,poc_pop,GEOID,census_tract,county_name
0,64245.0,2691.0,2275.0,18.0,2691.0,06,067,008702,416.0,06067008702,Census Tract 87.02,Sacramento County
1,35685.0,4679.0,3272.0,225.0,4673.0,06,067,008905,1407.0,06067008905,Census Tract 89.05,Sacramento County
2,30110.0,4888.0,3294.0,241.0,4848.0,06,067,008908,1594.0,06067008908,Census Tract 89.08,Sacramento County
3,25684.0,3828.0,2819.0,296.0,3789.0,06,067,008910,1009.0,06067008910,Census Tract 89.10,Sacramento County
4,78212.0,3824.0,3309.0,2.0,3770.0,06,067,000200,515.0,06067000200,Census Tract 2,Sacramento County
5,45323.0,3851.0,2761.0,341.0,3851.0,06,067,000400,1090.0,06067000400,Census Tract 4,Sacramento County
6,26407.0,6259.0,2712.0,1256.0,6080.0,06,067,004202,3547.0,06067004202,Census Tract 42.02,Sacramento County
7,24545.0,5618.0,1515.0,1252.0,5590.0,06,067,004203,4103.0,06067004203,Census Tract 42.03,Sacramento County
8,27782.0,9159.0,1569.0,2209.0,9105.0,06,067,004300,7590.0,06067004300,Census Tract 43,Sacramento County
9,32333.0,3642.0,2538.0,146.0,3642.0,06,067,005202,1104.0,06067005202,Census Tract 52.02,Sacramento County
10,29441.0,5967.0,2945.0,944.0,5883.0,06,067,005505,3022.0,06067005505,Census Tract 55.05,Sacramento County
11,85966.0,2490.0,1877.0,0.0,2490.0,06,075,042800,613.0,06075042800,Census Tract 428,San Francisco County
12,39567.0,2399.0,591.0,31.0,2387.0,06,037,482702,1808.0,06037482702,Census Tract 4827.02,Los Angeles County
13,46420.0,6978.0,4943.0,20.0,6805.0,06,037,500201,2035.0,06037500201,Census Tract 5002.01,Los Angeles County
14,62607.0,4815.0,3067.0,34.0,4788.0,06,037,500202,1748.0,06037500202,Census Tract 5002.02,Los Angeles County
15,25606.0,4176.0,2772.0,386.0,4169.0,06,037,532304,1404.0,06037532304,Census Tract 5323.04,Los Angeles County
16,20885.0,4386.0,2943.0,39.0,4303.0,06,037,532606,1443.0,06037532606,Census Tract 5326.06,Los Angeles County
17,21621.0,4334.0,1668.0,313.0,4334.0,06,037,532800,2666.0,06037532800,Census Tract 5328,Los Angeles County
18,19134.0,7226.0,2915.0,488.0,7204.0,06,037,532900,4311.0,06037532900,Census Tract 5329,Los Angeles County
19,36120.0,3742.0,1047.0,557.0,3732.0,06,037,603102,2695.0,06037603102,Census Tract 6031.02,Los Angeles County
20,33219.0,6186.0,3508.0,190.0,6180.0,06,037,551700,2678.0,06037551700,Census Tract 5517,Los Angeles County
21,29777.0,6527.0,2275.0,314.0,6418.0,06,037,552100,4252.0,06037552100,Census Tract 5521,Los Angeles County
22,24196.0,5245.0,2568.0,65.0,5245.0,06,037,552601,2677.0,06037552601,Census Tract 5526.01,Los Angeles County
23,32027.0,2663.0,1182.0,988.0,2663.0,06,001,401500,1481.0,06001401500,Census Tract 4015,Alameda County
24,53659.0,3002.0,1200.0,864.0,2985.0,06,001,401700,1802.0,06001401700,Census Tract 4017,Alameda County
25,35546.0,2527.0,846.0,718.0,2515.0,06,001,402200,1681.0,06001402200,Census Tract 4022,Alameda County
26,38750.0,3993.0,1793.0,268.0,3960.0,06,075,012000,2200.0,06075012000,Census Tract 120,San Francisco County
27,96115.0,4027.0,3303.0,25.0,4027.0,06,075,012700,724.0,06075012700,Census Tract 127,San Francisco County
28,122470.0,4274.0,3389.0,131.0,4245.0,06,075,013200,885.0,06075013200,Census Tract 132,San Francisco County
29,84231.0,4729.0,3453.0,103.0,4688.0,06,075,013300,1276.0,06075013300,Census Tract 133,San Francisco County
30,106896.0,2673.0,1809.0,58.0,2673.0,06,075,013500,864.0,06075013500,Census Tract 135,San Francisco County
31,79865.0,2236.0,1450.0,290.0,2116.0,06,075,015300,786.0,06075015300,Census Tract 153,San Francisco County
32,93284.0,5225.0,4330.0,216.0,5225.0,06,075,016700,895.0,06075016700,Census Tract 167,San Francisco County
33,72194.0,6181.0,3451.0,195.0,6181.0,06,075,020200,2730.0,06075020200,Census Tract 202,San Francisco County
34,84762.0,2949.0,2325.0,96.0,2924.0,06,075,020500,624.0,06075020500,Census Tract 205,San Francisco County
35,78176.0,4692.0,3110.0,113.0,4680.0,06,075,021000,1582.0,06075021000,Census Tract 210,San Francisco County
36,31281.0,5095.0,387.0,563.0,5088.0,06,075,023001,4708.0,06075023001,Census Tract 230.01,San Francisco County
37,42010.0,4960.0,2065.0,211.0,4960.0,06,075,035202,2895.0,06075035202,Census Tract 352.02,San Francisco County
38,53741.0,5422.0,2093.0,233.0,5422.0,06,075,042700,3329.0,06075042700,Census Tract 427,San Francisco County
39,66406.0,4119.0,3111.0,42.0,4094.0,06,075,060100,1008.0,06075060100,Census Tract 601,San Francisco County
40,29657.0,6743.0,1188.0,1080.0,6719.0,06,075,031400,5555.0,06075031400,Census Tract 314,San Francisco County
41,57284.0,4436.0,2546.0,67.0,4391.0,06,075,040100,1890.0,06075040100,Census Tract 401,San Francisco County
42,29922.0,4179.0,613.0,1197.0,4155.0,06,075,023200,3566.0,06075023200,Census Tract 232,San Francisco County
43,76303.0,5255.0,3850.0,115.0,4743.0,06,075,030102,1405.0,06075030102,Census Tract 301.02,San Francisco County
44,48317.0,6681.0,2708.0,14.0,6681.0,06,075,032700,3973.0,06075032700,Census Tract 327,San Francisco County
45,46513.0,5987.0,2284.0,20.0,5984.0,06,075,035201,3703.0,06075035201,Census Tract 352.01,San Francisco County
46,35111.0,6412.0,3229.0,296.0,6353.0,06,037,403802,3183.0,06037403802,Census Tract 4038.02,Los Angeles County
47,22819.0,5722.0,2432.0,193.0,5722.0,06,037,404901,3290.0,06037404901,Census Tract 4049.01,Los Angeles County
48,37893.0,6689.0,3203.0,166.0,6669.0,06,037,405500,3486.0,06037405500,Census Tract 4055,Los Angeles County
49,28725.0,4629.0,1539.0,69.0,4593.0,06,037,408401,3090.0,06037408401,Census Tract 4084.01,Los Angeles County
50,33051.0,6468.0,3544.0,83.0,6457.0,06,037,408402,2924.0,06037408402,Census Tract 4084.02,Los Angeles County
51,59432.0,4456.0,1601.0,56.0,4432.0,06,037,430600,2855.0,06037430600,Census Tract 4306,Los Angeles County
52,27851.0,6428.0,3247.0,646.0,6293.0,06,037,431200,3181.0,06037431200,Census Tract 4312,Los Angeles County
53,25506.0,7182.0,2502.0,68.0,7109.0,06,037,432402,4680.0,06037432402,Census Tract 4324.02,Los Angeles County
54,25902.0,2537.0,1882.0,56.0,2537.0,06,037,124203,655.0,06037124203,Census Tract 1242.03,Los Angeles County
55,23118.0,2152.0,1230.0,63.0,2152.0,06,037,124204,922.0,06037124204,Census Tract 1242.04,Los Angeles County
56,30603.0,2654.0,1882.0,319.0,2635.0,06,037,124902,772.0,06037124902,Census Tract 1249.02,Los Angeles County
57,33341.0,3587.0,3067.0,81.0,3399.0,06,037,124903,520.0,06037124903,Census Tract 1249.03,Los Angeles County
58,39832.0,4729.0,3122.0,677.0,4729.0,06,037,125401,1607.0,06037125401,Census Tract 1254.01,Los Angeles County
59,42576.0,4676.0,3409.0,274.0,4676.0,06,037,125402,1267.0,06037125402,Census Tract 1254.02,Los Angeles County
60,35515.0,3127.0,2198.0,301.0,3127.0,06,037,125501,929.0,06037125501,Census Tract 1255.01,Los Angeles County
61,41879.0,3457.0,2658.0,196.0,3457.0,06,037,125502,799.0,06037125502,Census Tract 1255.02,Los Angeles County
62,25203.0,3187.0,1058.0,130.0,3187.0,06,037,127103,2129.0,06037127103,Census Tract 1271.03,Los Angeles County
63,25517.0,3588.0,1578.0,184.0,3588.0,06,037,127104,2010.0,06037127104,Census Tract 1271.04,Los Angeles County
64,25321.0,3154.0,995.0,78.0,3148.0,06,037,127603,2159.0,06037127603,Census Tract 1276.03,Los Angeles County
65,25732.0,3093.0,1287.0,118.0,3093.0,06,037,127604,1806.0,06037127604,Census Tract 1276.04,Los Angeles County
66,21412.0,3998.0,872.0,74.0,3986.0,06,037,127605,3126.0,06037127605,Census Tract 1276.05,Los Angeles County
67,28356.0,3451.0,1637.0,404.0,3451.0,06,037,127711,1814.0,06037127711,Census Tract 1277.11,Los Angeles County
68,33500.0,3499.0,1572.0,156.0,3499.0,06,037,127606,1927.0,06037127606,Census Tract 1276.06,Los Angeles County
69,29604.0,3669.0,1418.0,276.0,3669.0,06,037,127712,2251.0,06037127712,Census Tract 1277.12,Los Angeles County
70,28600.0,4675.0,1497.0,136.0,4675.0,06,037,127803,3178.0,06037127803,Census Tract 1278.03,Los Angeles County
71,25546.0,4450.0,2021.0,202.0,4443.0,06,037,127804,2429.0,06037127804,Census Tract 1278.04,Los Angeles County
72,23012.0,3785.0,1824.0,281.0,3496.0,06,037,127805,1961.0,06037127805,Census Tract 1278.05,Los Angeles County
73,21680.0,3253.0,2006.0,176.0,3232.0,06,037,127806,1247.0,06037127806,Census Tract 1278.06,Los Angeles County
74,30884.0,3715.0,2076.0,129.0,3710.0,06,037,128101,1639.0,06037128101,Census Tract 1281.01,Los Angeles County
75,-666666666.0,0.0,0.0,0.0,0.0,06,037,980013,0.0,06037980013,Census Tract 9800.13,Los Angeles County
76,-666666666.0,10.0,5.0,0.0,10.0,06,037,980014,5.0,06037980014,Census Tract 9800.14,Los Angeles County
